,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
63,AATC,AUTOSCOPE TECHS CORP,otc,us,,CS,True,USD,,BBG011MC2100,BBG011MC2119,2023-05-15T05:00:39.208Z
64,AATGF,ATI AIRTEST TECHS INC,otc,us,,OS,True,USD,,BBG000DPPB70,BBG001S77XD7,2023-05-10T05:00:38.205Z
65,AATRL,AMG CAP TR II 5.15% CONV,otc,us,,PFD,True,USD,,,,2023-10-11T21:28:07.559Z
66,AATV,ADAPTIVE AD SYSTEMS INC,otc,us,,CS,True,USD,,BBG000DQDZ96,BBG001SGH8Q7,2023-05-01T05:00:22.505Z
67,AAU,Almaden Minerals Ltd.,stocks,us,XASE,CS,True,usd,0001015647,BBG000DGFSY4,BBG001S7VVD4,2023-11-07T00:00:00Z
68,AAUCF,ALLIED GOLD CORP,otc,us,,CS,True,USD,,BBG01K0WWT59,BBG01J3PPZ58,2023-11-03T10:51:34.818Z
69,AAUGF,ANGOLD RES LTD,otc,us,,OS,True,USD,,BBG00ZNSRJ77,BBG001SF6B93,2023-07-06T05:00:46.246Z
70,AAUKF,ANGLO AMER PLC ORD.,otc,us,,OS,True,USD,,,,2023-08-17T19:11:33.736Z
71,AAVMY,ABN AMR BK N V UNSP/ADR,otc,us,,ADRC,True,USD,,BBG00PXGLFG8,BBG00PXGLG67,2022-08-15T05:00:49.252Z
72,AAVVF,ADVANTAGE ENERGY LTD,otc,us,,OS,True,USD,,BBG000C5QZ62,BBG001SDWVG7,2022-08-15T05:01:10.752Z
73,AAVXF,ABIVAX SA ORD,otc,us,,OS,True,USD,,,,2023-06-12T06:44:12.258Z
74,AAWH,ASCEND WELLNESS HOLDNGS A,otc,us,,OS,True,USD,,BBG00P4VKXR7,BBG010JWLP17,2023-10-11T21:28:38.859Z
75,AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000G6GXC5,BBG001T2V2D8,2023-11-07T00:00:00Z
76,AAXT,AAMAXAN TRANSPORT GRP INC,otc,us,,CS,True,USD,,BBG000BSVKZ8,BBG001SFRD87,2021-04-08T05:00:10.436Z
77,AAYYY,AUSTRALIAN AGRCL UNSP/ADR,otc,us,,ADRC,True,USD,,BBG002CND6S3,BBG002CND7J1,2023-05-04T05:00:33.376Z
78,AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,BBG001S5N9S0,2023-11-07T00:00:00Z
79,ABAKF,ABRDN ASIA-PAC INCOME FD,otc,us,,OS,True,USD,,,,2023-11-01T08:45:14.931Z
80,ABANF,AUTOMATIC BANK SERVICES,otc,us,,OS,True,USD,,,,2021-09-29T08:45:24.326Z
81,ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,True,usd,0001576873,BBG004M1KJN5,BBG004M1KJP3,2023-11-07T00:00:00Z
82,ABAUF,A2B AUSTRALIA LTD,otc,us,,OS,True,USD,,,,2023-08-23T06:42:06.122Z
83,ABBAF,ABRDN ASIAN INCOME FUND,otc,us,,OS,True,USD,,,,2022-10-27T16:04:44.953Z
